caso,metodo,angulos_reales,angulos_estimados,errores_por_fuente_grados,error_medio_grados,tramas,porcentaje_mascara,conmutaciones,decisiones_validas,bins_activos_medios,bins_efectivos_medios,peso_medio,analisis_ms,das_dual_ms,decision_ms,total_por_ventana_ms
clean-3source,DAS base,"-30.00 90.00 -150.00","-142.00 -32.00 83.00","2.00 7.00 8.00",5.666667,92,45.652,3,19,47.826,42.107,0.427936,746.643543,1393.688440,219.406128,25.649327
clean-3source,DAS + SNR,"-30.00 90.00 -150.00","-144.00 -31.00 85.00","1.00 5.00 6.00",4.000000,92,45.652,3,19,47.826,42.107,0.427936,746.643543,1393.688440,219.406128,25.649327
clean-3source,DAS adaptativo,"-30.00 90.00 -150.00","-144.00 -31.00 85.00","1.00 5.00 6.00",4.000000,92,45.652,3,19,47.826,42.107,0.427936,746.643543,1393.688440,219.406128,25.649327
clean-3source090180,DAS base,"0.00 90.00 180.00","1.00 120.00 179.00","1.00 30.00 1.00",10.666667,92,32.609,3,17,36.826,31.488,0.298980,577.923059,1132.877350,195.340872,20.718927
clean-3source090180,DAS + SNR,"0.00 90.00 180.00","-180.00 0.00 119.00","0.00 29.00 0.00",9.666667,92,32.609,3,17,36.826,31.488,0.298980,577.923059,1132.877350,195.340872,20.718927
clean-3source090180,DAS adaptativo,"0.00 90.00 180.00","-180.00 0.00 119.00","0.00 29.00 0.00",9.666667,92,32.609,3,17,36.826,31.488,0.298980,577.923059,1132.877350,195.340872,20.718927
noisy-3source,DAS base,"-30.00 90.00 -150.00","91.00 134.00 164.00","164.00 1.00 46.00",70.333333,92,71.739,3,13,29.815,24.988,0.223429,660.116434,1320.508480,183.079720,23.518529
noisy-3source,DAS + SNR,"-30.00 90.00 -150.00","-148.00 -34.00 89.00","4.00 1.00 2.00",2.333333,92,71.739,3,13,29.815,24.988,0.223429,660.116434,1320.508480,183.079720,23.518529
noisy-3source,DAS adaptativo,"-30.00 90.00 -150.00","-148.00 -34.00 89.00","4.00 1.00 2.00",2.333333,92,71.739,3,13,29.815,24.988,0.223429,660.116434,1320.508480,183.079720,23.518529
noisy-3source090180,DAS base,"0.00 90.00 180.00","-180.00 -6.00 97.00","6.00 7.00 0.00",4.333333,92,6.522,2,16,40.663,36.091,0.370277,648.237467,1192.381620,183.941126,22.006089
noisy-3source090180,DAS + SNR,"0.00 90.00 180.00","84.00 121.00 163.00","84.00 31.00 17.00",44.000000,92,6.522,2,16,40.663,36.091,0.370277,648.237467,1192.381620,183.941126,22.006089
noisy-3source090180,DAS adaptativo,"0.00 90.00 180.00","-180.00 -6.00 97.00","6.00 7.00 0.00",4.333333,92,6.522,2,16,40.663,36.091,0.370277,648.237467,1192.381620,183.941126,22.006089
