caso,metodo,fuente,angulo_real,angulo_estimado,error_doa_grados,si_sdr_db,si_sdri_db,correlacion,tiempo_separacion_ms
clean-3source,das,1,-30.00,-31.00,1.00,-0.9971,1.9797,0.6655,6279.9790
clean-3source,das,2,90.00,85.00,5.00,-7.2409,0.8755,0.3985,6279.9790
clean-3source,das,3,-150.00,-144.00,6.00,-6.3283,4.2900,0.4346,6279.9790
clean-3source,mvdr,1,-30.00,-31.00,1.00,-9.6415,-6.6647,0.3130,5008.5759
clean-3source,mvdr,2,90.00,85.00,5.00,-12.3817,-4.2653,0.2337,5008.5759
clean-3source,mvdr,3,-150.00,-144.00,6.00,-8.2953,2.3230,0.3591,5008.5759
clean-3source,lcmv,1,-30.00,-31.00,1.00,-13.6679,-10.6911,0.2030,4453.7890
clean-3source,lcmv,2,90.00,85.00,5.00,-21.1961,-13.0797,0.0868,4453.7890
clean-3source,lcmv,3,-150.00,-144.00,6.00,-19.8616,-9.2433,0.1011,4453.7890
clean-3source,gsc_fixed,1,-30.00,-31.00,1.00,-9.8358,-6.8590,0.3067,22267.2019
clean-3source,gsc_fixed,2,90.00,85.00,5.00,-9.8186,-1.7022,0.3073,22267.2019
clean-3source,gsc_fixed,3,-150.00,-144.00,6.00,-12.0170,-1.3987,0.2432,22267.2019
clean-3source,gsc_dynamic,1,-30.00,-31.00,1.00,-6.9266,-3.9498,0.4107,48085.5269
clean-3source,gsc_dynamic,2,90.00,85.00,5.00,-8.1332,-0.0168,0.3650,48085.5269
clean-3source,gsc_dynamic,3,-150.00,-144.00,6.00,-8.7254,1.8929,0.3439,48085.5269
clean-3source,phase_mask,1,-30.00,-31.00,1.00,-22.0576,-19.0809,0.0787,631.2320
clean-3source,phase_mask,2,90.00,85.00,5.00,-21.8119,-13.6955,0.0809,631.2320
clean-3source,phase_mask,3,-150.00,-144.00,6.00,-22.2346,-11.6163,0.0771,631.2320
